11.1541099548,2.2460625000,2.7423750000,2.6073750000,0.5501250000
11.5143239498,2.2458750000,2.7429375000,2.6071875000,0.5478750000
11.8735287189,2.2458750000,2.7425625000,2.6070000000,0.5497500000
12.1764407158,2.2460625000,2.7429375000,2.6070000000,0.5499375000
12.4784340858,2.2458750000,2.7431250000,2.6070000000,0.5497500000
12.7766201496,2.2460625000,2.7427500000,2.6070000000,0.5497500000
13.0786979198,2.2458750000,2.7429375000,2.6070000000,0.5495625000
13.3817403316,2.2460625000,2.7427500000,2.6073750000,0.5480625000
13.6853275299,2.2460625000,2.7425625000,2.6071875000,0.5473125000
13.9917314053,2.2460625000,2.7431250000,2.6068125000,0.5497500000
14.3082394600,2.2460625000,2.7429375000,2.6068125000,0.5499375000
14.6150574684,2.2460625000,2.7427500000,2.6071875000,0.5484375000
14.9233801365,2.2460625000,2.7425625000,2.6066250000,0.5493750000
15.2339477539,2.2460625000,2.7425625000,2.6071875000,0.5476875000
15.5426404476,2.2460625000,2.7427500000,2.6066250000,0.5493750000
15.8814015388,2.2462500000,2.7425625000,2.6070000000,0.5480625000
16.2073531151,2.2462500000,2.7425625000,2.6070000000,0.5503125000
16.5318338871,2.2462500000,2.7429375000,2.6073750000,0.5486250000
16.8341124058,2.2460625000,2.7425625000,2.6070000000,0.5484375000
17.1321766376,2.2462500000,2.7427500000,2.6071875000,0.5480625000
17.4307947159,2.2462500000,2.7427500000,2.6071875000,0.5491875000
17.7421963215,2.2462500000,2.7429375000,2.6070000000,0.5499375000
18.0407783985,2.2462500000,2.7429375000,2.6070000000,0.5497500000
18.4123899937,2.2462500000,2.7429375000,2.6070000000,0.5490000000
18.7455501556,2.2462500000,2.7429375000,2.6071875000,0.5490000000
19.0660657883,2.2460625000,2.7427500000,2.6075625000,0.5478750000
19.3839776516,2.2460625000,2.7425625000,2.6075625000,0.5480625000
19.7009987831,2.2460625000,2.7427500000,2.6077500000,0.5484375000
20.0121374130,2.2460625000,2.7429375000,2.6070000000,0.5491875000
20.3242888451,2.2458750000,2.7427500000,2.6070000000,0.5493750000
20.6338579655,2.2458750000,2.7429375000,2.6073750000,0.5484375000
20.9385819435,2.2460625000,2.7429375000,2.6075625000,0.5480625000
21.2481131554,2.2458750000,2.7438750000,2.6077500000,0.5488125000
21.6313481331,2.2460625000,2.7446250000,2.6085000000,0.5478750000
21.9687738419,2.2460625000,2.7451875000,2.6092500000,0.5476875000
22.3005487919,2.2462500000,2.7468750000,2.6103750000,0.5476875000
22.6319150925,2.2464375000,2.7487500000,2.6111250000,0.5488125000
22.9394135475,2.2466250000,2.7506250000,2.6128125000,0.5490000000
23.2480592728,2.2466250000,2.7530625000,2.6141250000,0.5482500000
23.5548515320,2.2470000000,2.7558750000,2.6158125000,0.5488125000
23.8575959206,2.2470000000,2.7585000000,2.6171250000,0.5495625000
24.1604218483,2.2473750000,2.7620625000,2.6186250000,0.5499375000
24.4659609795,2.2475625000,2.7654375000,2.6205000000,0.5488125000
24.7870047092,2.2479375000,2.7691875000,2.6227500000,0.5482500000
25.0945239067,2.2483125000,2.7735000000,2.6240625000,0.5490000000
25.3988904953,2.2485000000,2.7778125000,2.6263125000,0.5486250000
25.7029957771,2.2490625000,2.7819375000,2.6281875000,0.5478750000
26.0084693432,2.2494375000,2.7862500000,2.6296875000,0.5499375000
26.3157618046,2.2496250000,2.7911250000,2.6313750000,0.5490000000
26.6217160225,2.2501875000,2.7954375000,2.6334375000,0.5476875000
26.9280037880,2.2507500000,2.8001250000,2.6345625000,0.5493750000
27.2438440323,2.2509375000,2.8050000000,2.6362500000,0.5491875000
27.5506947041,2.2515000000,2.8093125000,2.6379375000,0.5488125000
27.8598446846,2.2520625000,2.8141875000,2.6392500000,0.5493750000
28.1694457531,2.2524375000,2.8185000000,2.6409375000,0.5484375000
28.4801328182,2.2530000000,2.8231875000,2.6422500000,0.5493750000
28.7891066074,2.2535625000,2.8273125000,2.6441250000,0.5488125000
29.0985550880,2.2541250000,2.8318125000,2.6450625000,0.5482500000
29.4082114697,2.2546875000,2.8359375000,2.6463750000,0.5497500000
29.7226405144,2.2550625000,2.8400625000,2.6478750000,0.5478750000
30.0324590206,2.2556250000,2.8445625000,2.6490000000,0.5488125000
30.3421652317,2.2561875000,2.8483125000,2.6501250000,0.5490000000
30.6535851955,2.2567500000,2.8520625000,2.6516250000,0.5476875000
30.9650390148,2.2573125000,2.8563750000,2.6521875000,0.5493750000
31.2776522636,2.2578750000,2.8599375000,2.6533125000,0.5493750000
31.5893695354,2.2584375000,2.8635000000,2.6548125000,0.5478750000
31.9025261402,2.2590000000,2.8672500000,2.6557500000,0.5484375000
32.2143545151,2.2595625000,2.8708125000,2.6565000000,0.5491875000
